,mean,std,sem
,Calibration Error,Calibration Error,Calibration Error
Evidential,0.06721420329437669,0.04184070122725398,0.024156740116637793
Gaussian,0.0820526285145664,0.014890547552007001,0.008597061637532162
GroundTruth,0.0,,
Laplace,0.047193986598069115,0.017598226529928734,0.010160340824314369
