Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Hostname :  wr12
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[5500] 	 RMSE: 0.1309 	 NLL: -0.5497 	 train_loss: 0.0188 	 t: 22.26 sec
[5600] 	 RMSE: 0.1309 	 NLL: -0.5497 	 train_loss: 0.0222 	 t: 22.57 sec
[5700] 	 RMSE: 0.1309 	 NLL: -0.5497 	 train_loss: 0.0269 	 t: 22.08 sec
[5800] 	 RMSE: 0.1309 	 NLL: -0.5497 	 train_loss: 0.0243 	 t: 22.25 sec
[5900] 	 RMSE: 0.1285 	 NLL: -0.5793 	 train_loss: 0.0239 	 t: 22.81 sec
[6000] 	 RMSE: 0.1285 	 NLL: -0.5793 	 train_loss: 0.0262 	 t: 22.18 sec
[6100] 	 RMSE: 0.1285 	 NLL: -0.5793 	 train_loss: 0.0190 	 t: 21.99 sec
[6200] 	 RMSE: 0.1285 	 NLL: -0.5793 	 train_loss: 0.0172 	 t: 22.40 sec
[6300] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0241 	 t: 22.57 sec
[6400] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0214 	 t: 22.18 sec
[6500] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0185 	 t: 22.57 sec
[6600] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0174 	 t: 22.14 sec
[6700] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0289 	 t: 22.27 sec
[6800] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0143 	 t: 22.48 sec
[6900] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0165 	 t: 22.35 sec
[7000] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0181 	 t: 22.35 sec
[7100] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0238 	 t: 22.09 sec
[7200] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0259 	 t: 22.06 sec
[7300] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0230 	 t: 22.16 sec
[7400] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0136 	 t: 22.26 sec
[7500] 	 RMSE: 0.1206 	 NLL: -0.6608 	 train_loss: 0.0184 	 t: 21.19 sec
