Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 08:30:23 CEST 2021
Mo 19. Apr 08:30:23 CEST 2021
0
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[5500] 	 RMSE: 0.1461 	 NLL: -0.2417 	 train_loss: -0.6362 	 t: 36.51 sec
[5600] 	 RMSE: 0.1461 	 NLL: -0.2417 	 train_loss: -0.4633 	 t: 36.48 sec
[5700] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.5821 	 t: 36.76 sec
[5800] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.6443 	 t: 36.14 sec
[5900] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.5155 	 t: 36.31 sec
[6000] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.5844 	 t: 35.85 sec
[6100] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.6281 	 t: 36.16 sec
[6200] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.4793 	 t: 35.98 sec
[6300] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.5598 	 t: 35.97 sec
[6400] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.7675 	 t: 36.19 sec
[6500] 	 RMSE: 0.1410 	 NLL: -0.3248 	 train_loss: -0.6264 	 t: 36.09 sec
[6600] 	 RMSE: 0.1370 	 NLL: -0.3861 	 train_loss: -0.6122 	 t: 36.43 sec
[6700] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.5740 	 t: 36.71 sec
[6800] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.6817 	 t: 35.65 sec
[6900] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.7498 	 t: 36.31 sec
[7000] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.6597 	 t: 36.09 sec
[7100] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.6988 	 t: 36.31 sec
[7200] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.6666 	 t: 36.20 sec
[7300] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.6287 	 t: 36.43 sec
[7400] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.7445 	 t: 35.83 sec
[7500] 	 RMSE: 0.1330 	 NLL: -0.4475 	 train_loss: -0.6767 	 t: 36.11 sec
[7600] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.8883 	 t: 36.59 sec
[7700] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.5568 	 t: 36.46 sec
[7800] 	 RMSE: 0.1272 	 NLL: -0.5320 	 train_loss: -0.8283 	 t: 38.85 sec
