Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[3900]  RMSE: 0.1367 	 NLL: -0.9391 	 loss: -0.9216 	 reg_loss: 0.0873 	 lambda: 0.20 	 t: 50.65 sec
[4000]  RMSE: 0.1367 	 NLL: -0.9391 	 loss: -0.8706 	 reg_loss: 0.0898 	 lambda: 0.20 	 t: 49.63 sec
[4100]  RMSE: 0.1112 	 NLL: -1.0736 	 loss: -1.0594 	 reg_loss: 0.0708 	 lambda: 0.20 	 t: 50.60 sec
[4200]  RMSE: 0.1112 	 NLL: -1.0736 	 loss: -0.6848 	 reg_loss: 0.1057 	 lambda: 0.20 	 t: 49.63 sec
[4300]  RMSE: 0.1112 	 NLL: -1.0736 	 loss: -0.8563 	 reg_loss: 0.0907 	 lambda: 0.20 	 t: 49.57 sec
[4400]  RMSE: 0.1112 	 NLL: -1.0736 	 loss: -0.9445 	 reg_loss: 0.0874 	 lambda: 0.20 	 t: 49.80 sec
[4500]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -1.0605 	 reg_loss: 0.0748 	 lambda: 0.20 	 t: 50.30 sec
[4600]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -0.8729 	 reg_loss: 0.0931 	 lambda: 0.20 	 t: 49.64 sec
[4700]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -0.8962 	 reg_loss: 0.0884 	 lambda: 0.20 	 t: 49.67 sec
[4800]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -0.9510 	 reg_loss: 0.0833 	 lambda: 0.20 	 t: 49.59 sec
[4900]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -0.9337 	 reg_loss: 0.0834 	 lambda: 0.20 	 t: 49.59 sec
[5000]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -1.0300 	 reg_loss: 0.0777 	 lambda: 0.20 	 t: 49.64 sec
[5100]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -1.0604 	 reg_loss: 0.0740 	 lambda: 0.20 	 t: 49.62 sec
[5200]  RMSE: 0.1112 	 NLL: -1.0754 	 loss: -1.0535 	 reg_loss: 0.0771 	 lambda: 0.20 	 t: 49.68 sec
[5300]  RMSE: 0.1112 	 NLL: -1.2584 	 loss: -1.2461 	 reg_loss: 0.0616 	 lambda: 0.20 	 t: 50.27 sec
