Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[5500] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.8482 	 t: 25.85 sec
[5600] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.8995 	 t: 25.74 sec
[5700] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.9714 	 t: 25.83 sec
[5800] 	 RMSE: 0.1247 	 NLL: -0.6072 	 train_loss: -0.7775 	 t: 25.68 sec
[5900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9934 	 t: 26.00 sec
[6000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9784 	 t: 25.80 sec
[6100] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9312 	 t: 25.76 sec
[6200] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0271 	 t: 25.73 sec
[6300] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.8843 	 t: 25.91 sec
[6400] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9989 	 t: 25.86 sec
[6500] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9977 	 t: 25.86 sec
[6600] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0553 	 t: 25.76 sec
[6700] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0653 	 t: 25.85 sec
[6800] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.8331 	 t: 25.83 sec
[6900] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -0.9096 	 t: 25.93 sec
[7000] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0522 	 t: 25.75 sec
[7100] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1008 	 t: 25.72 sec
[7200] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.0242 	 t: 25.78 sec
[7300] 	 RMSE: 0.1154 	 NLL: -0.7735 	 train_loss: -1.1143 	 t: 25.73 sec
